,Correctness,Flouted,MannerType,Action,FailedMove
115,5.5,False,MannerType.NoDuplciates,place,False
116,3.75,False,MannerType.NoDuplciates,place,False
117,3.875,False,MannerType.NoDuplciates,place,False
118,3.9375,False,MannerType.NoDuplciates,place,False
119,3.96875,False,MannerType.NoDuplciates,place,False
120,5.984375,False,MannerType.AcceptedDuplicates,remove,False
121,5.9921875,False,MannerType.AcceptedDuplicates,remove,False
122,2.99609375,False,MannerType.AcceptedDuplicates,place,False
123,5.998046875,False,MannerType.NoDuplciates,remove,False
124,5.9990234375,False,MannerType.NoDuplciates,remove,False
125,5.999755859375,False,MannerType.NoDuplciates,remove,False
126,5.9998779296875,False,MannerType.AcceptedDuplicates,place,False
127,3.99993896484375,False,MannerType.NoDuplciates,place,False
128,3.0,False,MannerType.NoDuplciates,place,False
129,5.5,False,MannerType.NoDuplciates,place,False
130,3.75,False,MannerType.NoDuplciates,place,False
131,3.875,False,MannerType.AcceptedDuplicates,remove,False
132,5.9375,False,MannerType.NoDuplciates,remove,False
133,3.96875,False,MannerType.AcceptedDuplicates,place,False
134,3.984375,False,MannerType.AcceptedDuplicates,place,False
135,4.9921875,False,MannerType.NoDuplciates,remove,False
136,3.99609375,False,MannerType.AcceptedDuplicates,place,False
137,3.998046875,False,MannerType.NoDuplciates,place,False
138,3.9990234375,False,MannerType.NoDuplciates,place,False
139,3.99951171875,False,MannerType.NoDuplciates,place,False
140,6.0,False,MannerType.NoDuplciates,place,False
141,5.0,False,MannerType.NoDuplciates,place,False
142,6.0,False,MannerType.NoDuplciates,place,False
143,5.0,False,MannerType.NoDuplciates,place,False
144,0.0,False,MannerType.NoDuplciates,place,True
145,6.0,False,MannerType.NoDuplciates,place,False
146,3.0,False,MannerType.NoDuplciates,place,False
147,3.5,False,MannerType.NoDuplciates,place,False
148,3.75,False,MannerType.AcceptedDuplicates,place,False
149,3.875,False,MannerType.AcceptedDuplicates,place,False
150,3.9375,False,MannerType.NoDuplciates,place,False
151,3.96875,False,MannerType.AcceptedDuplicates,place,False
152,3.984375,False,MannerType.AcceptedDuplicates,place,False
153,3.9921875,False,MannerType.NoDuplciates,place,False
154,3.0,False,MannerType.NoDuplciates,place,False
155,3.5,False,MannerType.NoDuplciates,place,False
156,5.75,False,MannerType.NoDuplciates,place,False
157,3.875,False,MannerType.AcceptedDuplicates,place,False
158,3.9375,False,MannerType.NoDuplciates,place,False
159,3.96875,False,MannerType.AcceptedDuplicates,place,False
160,3.984375,False,MannerType.NoDuplciates,place,False
161,3.9921875,False,MannerType.NoDuplciates,place,False
162,3.99609375,False,MannerType.NoDuplciates,place,False
163,3.998046875,False,MannerType.NoDuplciates,place,False
164,3.9990234375,False,MannerType.NoDuplciates,place,False
165,3.99951171875,False,MannerType.NoDuplciates,place,False
166,3.999755859375,False,MannerType.AcceptedDuplicates,place,False
167,3.9998779296875,False,MannerType.NoDuplciates,place,False
168,3.99993896484375,False,MannerType.AcceptedDuplicates,place,False
169,3.999969482421875,False,MannerType.NoDuplciates,place,False
170,3.0,False,MannerType.AcceptedDuplicates,place,False
171,2.5,False,MannerType.AcceptedDuplicates,place,False
172,4.75,False,MannerType.AcceptedDuplicates,remove,False
173,3.875,False,MannerType.NoDuplciates,place,False
174,5.9375,False,MannerType.NoDuplciates,place,False
175,4.96875,False,MannerType.AcceptedDuplicates,place,False
176,3.984375,False,MannerType.NoDuplciates,place,False
177,3.9921875,False,MannerType.NoDuplciates,place,False
178,4.99609375,False,MannerType.NoDuplciates,remove,False
179,0.0,False,MannerType.NoDuplciates,remove,True
180,3.998046875,False,MannerType.NoDuplciates,remove,False
181,5.9990234375,False,MannerType.NoDuplciates,remove,False
182,5.99951171875,False,MannerType.AcceptedDuplicates,remove,False
183,6.0,False,MannerType.AcceptedDuplicates,remove,False
184,3.0,False,MannerType.NoDuplciates,place,False
185,3.5,False,MannerType.NoDuplciates,place,False
186,3.75,False,MannerType.AcceptedDuplicates,place,False
187,3.875,False,MannerType.NoDuplciates,place,False
188,3.0,False,MannerType.NoDuplciates,place,False
189,3.5,False,MannerType.NoDuplciates,place,False
190,3.75,False,MannerType.NoDuplciates,place,False
191,3.875,False,MannerType.AcceptedDuplicates,place,False
192,3.9375,False,MannerType.NoDuplciates,place,False
193,3.96875,False,MannerType.AcceptedDuplicates,place,False
194,5.984375,False,MannerType.NoDuplciates,place,False
195,3.9921875,False,MannerType.AcceptedDuplicates,place,False
196,3.99609375,False,MannerType.NoDuplciates,place,False
197,3.998046875,False,MannerType.NoDuplciates,place,False
198,5.9990234375,False,MannerType.NoDuplciates,place,False
199,5.99951171875,False,MannerType.NoDuplciates,remove,False
200,3.999755859375,False,MannerType.NoDuplciates,place,False
201,5.9998779296875,False,MannerType.NoDuplciates,remove,False
202,0.0,False,MannerType.NoDuplciates,remove,True
203,3.99993896484375,False,MannerType.AcceptedDuplicates,remove,False
204,5.999969482421875,False,MannerType.NoDuplciates,remove,False
205,4.9999847412109375,False,MannerType.AcceptedDuplicates,remove,False
206,3.9999923706054688,False,MannerType.NoDuplciates,place,False
207,6.0,False,MannerType.AcceptedDuplicates,place,False
208,3.0,False,MannerType.NoDuplciates,place,False
209,3.5,False,MannerType.NoDuplciates,place,False
210,5.75,False,MannerType.AcceptedDuplicates,place,False
211,5.875,False,MannerType.NoDuplciates,remove,False
212,3.9375,False,MannerType.NoDuplciates,place,False
213,3.96875,False,MannerType.AcceptedDuplicates,place,False
214,5.984375,False,MannerType.NoDuplciates,remove,False
215,5.9921875,False,MannerType.NoDuplciates,remove,False
216,3.99609375,False,MannerType.AcceptedDuplicates,remove,False
217,5.998046875,False,MannerType.NoDuplciates,place,False
218,5.9990234375,False,MannerType.AcceptedDuplicates,remove,False
219,5.99951171875,False,MannerType.AcceptedDuplicates,place,False
220,5.999755859375,False,MannerType.NoDuplciates,remove,False
221,5.9998779296875,False,MannerType.NoDuplciates,place,False
222,3.99993896484375,False,MannerType.NoDuplciates,remove,False
223,6.0,False,MannerType.NoDuplciates,remove,False
224,0.0,False,MannerType.NoDuplciates,remove,True
225,4.0,False,MannerType.AcceptedDuplicates,remove,False
226,6.0,False,MannerType.NoDuplciates,place,False
227,4.0,False,MannerType.NoDuplciates,remove,False
228,6.0,False,MannerType.AcceptedDuplicates,place,False
229,3.0,False,MannerType.NoDuplciates,place,False
230,5.5,False,MannerType.NoDuplciates,place,False
231,3.75,False,MannerType.NoDuplciates,place,False
232,3.875,False,MannerType.NoDuplciates,place,False
233,3.9375,False,MannerType.NoDuplciates,place,False
234,3.96875,False,MannerType.NoDuplciates,place,False
235,5.984375,False,MannerType.NoDuplciates,remove,False
236,3.9921875,False,MannerType.NoDuplciates,place,False
237,3.99609375,False,MannerType.NoDuplciates,place,False
238,2.998046875,False,MannerType.NoDuplciates,place,False
239,5.9990234375,False,MannerType.AcceptedDuplicates,remove,False
240,3.99951171875,False,MannerType.NoDuplciates,place,False
241,5.999755859375,False,MannerType.AcceptedDuplicates,place,False
242,4.9998779296875,False,MannerType.NoDuplciates,remove,False
243,3.99993896484375,False,MannerType.NoDuplciates,remove,False
244,5.999969482421875,False,MannerType.NoDuplciates,remove,False
245,3.0,False,MannerType.AcceptedDuplicates,place,False
246,3.5,False,MannerType.NoDuplciates,place,False
247,3.75,False,MannerType.NoDuplciates,place,False
248,5.875,False,MannerType.NoDuplciates,remove,False
249,4.9375,False,MannerType.NoDuplciates,remove,False
250,3.96875,False,MannerType.NoDuplciates,place,False
251,3.984375,False,MannerType.NoDuplciates,place,False
252,3.9921875,False,MannerType.AcceptedDuplicates,place,False
253,3.99609375,False,MannerType.AcceptedDuplicates,place,False
254,5.998046875,False,MannerType.NoDuplciates,remove,False
255,5.9990234375,False,MannerType.NoDuplciates,remove,False
256,0.0,False,MannerType.AcceptedDuplicates,remove,True
257,5.99951171875,False,MannerType.AcceptedDuplicates,place,False
258,3.999755859375,False,MannerType.NoDuplciates,place,False
259,3.9998779296875,False,MannerType.NoDuplciates,place,False
260,3.99993896484375,False,MannerType.NoDuplciates,place,False
261,0.0,False,MannerType.NoDuplciates,place,True
262,0.0,False,MannerType.AcceptedDuplicates,remove,True
263,6.0,False,MannerType.NoDuplciates,place,False
264,3.0,False,MannerType.NoDuplciates,place,False
265,5.5,False,MannerType.NoDuplciates,place,False
266,2.75,False,MannerType.NoDuplciates,remove,False
267,5.0,False,MannerType.NoDuplciates,remove,False
268,3.0,False,MannerType.NoDuplciates,remove,False
269,6.0,False,MannerType.NoDuplciates,place,False
270,6.0,False,MannerType.NoDuplciates,place,False
271,6.0,False,MannerType.AcceptedDuplicates,place,False
272,3.0,False,MannerType.AcceptedDuplicates,place,False
273,3.5,False,MannerType.NoDuplciates,place,False
274,3.75,False,MannerType.AcceptedDuplicates,place,False
275,0.0,False,MannerType.AcceptedDuplicates,place,True
276,0.0,False,MannerType.NoDuplciates,place,True
277,0.0,False,MannerType.NoDuplciates,place,True
278,0.0,False,MannerType.NoDuplciates,place,True
279,3.875,False,MannerType.NoDuplciates,place,False
280,0.0,False,MannerType.NoDuplciates,place,True
281,6.0,False,MannerType.NoDuplciates,place,False
282,3.0,False,MannerType.NoDuplciates,place,False
283,3.5,False,MannerType.NoDuplciates,place,False
284,5.75,False,MannerType.AcceptedDuplicates,place,False
285,3.875,False,MannerType.NoDuplciates,place,False
286,3.9375,False,MannerType.AcceptedDuplicates,place,False
287,5.96875,False,MannerType.NoDuplciates,place,False
288,5.984375,False,MannerType.NoDuplciates,remove,False
289,2.9921875,False,MannerType.NoDuplciates,remove,False
290,5.99609375,False,MannerType.NoDuplciates,place,False
291,3.998046875,False,MannerType.NoDuplciates,place,False
292,3.9990234375,False,MannerType.AcceptedDuplicates,place,False
293,3.99951171875,False,MannerType.NoDuplciates,place,False
294,3.999755859375,False,MannerType.NoDuplciates,remove,False
295,5.9998779296875,False,MannerType.NoDuplciates,remove,False
296,5.99993896484375,False,MannerType.AcceptedDuplicates,remove,False
297,3.999969482421875,False,MannerType.NoDuplciates,remove,False
298,3.9999847412109375,False,MannerType.NoDuplciates,place,False
299,3.9999923706054688,False,MannerType.NoDuplciates,place,False
300,6.0,False,MannerType.NoDuplciates,place,False
301,3.0,False,MannerType.NoDuplciates,place,False
302,5.5,False,MannerType.NoDuplciates,place,False
303,3.75,False,MannerType.NoDuplciates,place,False
304,3.875,False,MannerType.AcceptedDuplicates,place,False
305,3.9375,False,MannerType.NoDuplciates,place,False
306,3.96875,False,MannerType.NoDuplciates,place,False
307,5.984375,False,MannerType.NoDuplciates,place,False
308,3.9921875,False,MannerType.NoDuplciates,place,False
309,0.0,False,MannerType.AcceptedDuplicates,place,True
310,3.99609375,False,MannerType.NoDuplciates,place,False
311,3.998046875,False,MannerType.NoDuplciates,place,False
312,3.9990234375,False,MannerType.AcceptedDuplicates,place,False
313,0.0,False,MannerType.NoDuplciates,place,True
314,0.0,False,MannerType.NoDuplciates,place,True
315,0.0,False,MannerType.NoDuplciates,place,True
316,0.0,False,MannerType.AcceptedDuplicates,place,True
317,3.0,False,MannerType.NoDuplciates,place,False
318,3.5,False,MannerType.AcceptedDuplicates,place,False
319,3.75,False,MannerType.NoDuplciates,place,False
320,0.0,False,MannerType.AcceptedDuplicates,place,True
321,5.875,False,MannerType.NoDuplciates,remove,False
322,3.9375,False,MannerType.NoDuplciates,place,False
323,5.96875,False,MannerType.AcceptedDuplicates,place,False
324,0.0,False,MannerType.AcceptedDuplicates,place,True
325,3.984375,False,MannerType.NoDuplciates,place,False
326,3.9921875,False,MannerType.NoDuplciates,place,False
327,5.99609375,False,MannerType.NoDuplciates,place,False
328,3.998046875,False,MannerType.NoDuplciates,place,False
329,3.9990234375,False,MannerType.NoDuplciates,place,False
330,3.99951171875,False,MannerType.NoDuplciates,place,False
331,3.999755859375,False,MannerType.NoDuplciates,place,False
332,3.9998779296875,False,MannerType.NoDuplciates,place,False
333,3.99993896484375,False,MannerType.AcceptedDuplicates,place,False
334,0.0,False,MannerType.AcceptedDuplicates,place,True
335,3.999969482421875,False,MannerType.NoDuplciates,place,False
