,Correctness,Wall,Flouted,Action,FailedMove
211,0,D2,False,remove,True
212,0,D2,False,remove,True
213,0,D2,False,remove,True
214,2.0,D2,False,place,False
215,0.0,D2,True,remove,True
216,0.0,D2,True,remove,True
217,5.0,D2,True,remove,False
218,0.0,D2,False,place,True
219,0.0,D2,False,remove,True
220,0.0,D2,False,remove,True
221,0.0,D2,False,remove,True
222,0.0,D2,False,remove,True
223,0.0,D2,False,remove,True
224,0.0,D2,False,remove,True
225,0.0,D2,False,remove,True
226,0.0,D2,False,remove,True
227,0.0,D2,False,remove,True
228,0,D2,False,place,True
229,0,D2,False,remove,True
230,0,D2,False,remove,True
231,0,D2,True,remove,True
232,0,D2,False,remove,True
233,0,D2,True,place,True
234,0,D2,False,remove,True
235,0,D2,False,remove,True
236,0,D2,False,remove,True
237,0,D2,False,remove,True
238,0,D2,False,remove,True
239,0,D2,True,place,True
240,4,D2,False,remove,False
241,0,D2,True,remove,True
242,3.0,D2,False,place,False
243,3.5,D2,False,place,False
244,5.75,D2,False,remove,False
245,6.0,D2,False,remove,False
246,0.0,D2,False,place,True
247,3.0,D2,False,place,False
248,0.0,D2,True,remove,True
249,0.0,D2,True,remove,True
250,0.0,D2,True,remove,True
251,0.0,D2,False,place,True
252,0.0,D2,True,place,True
253,0.0,D2,False,remove,True
254,3.5,D2,False,place,False
255,0.0,D2,False,remove,True
256,0.0,D2,False,remove,True
257,0.0,D2,True,remove,True
258,6,D1,False,place,False
259,4,D1,False,remove,False
260,0,D1,False,remove,True
261,0,D1,True,remove,True
262,0,D1,True,remove,True
263,0,D1,True,remove,True
264,0,D1,True,remove,True
265,0,D1,False,remove,True
266,0,D1,True,remove,True
267,6,D1,False,place,False
268,0,D1,False,place,True
269,0,D1,True,remove,True
270,0,D1,True,remove,True
271,0.0,D1,False,place,True
272,6.0,D1,False,place,False
273,0.0,D1,False,remove,True
274,0.0,D1,False,remove,True
275,6.0,D1,False,place,False
276,0.0,D1,False,remove,True
277,0.0,D1,False,remove,True
278,3.0,D1,False,remove,False
279,0.0,D1,True,remove,True
280,3.0,D1,False,place,False
281,3.5,D1,False,remove,False
282,0.0,D1,False,place,True
283,0.0,D1,True,remove,True
284,0.0,D1,True,remove,True
285,0.0,D1,False,remove,True
286,0.0,D1,True,remove,True
287,0.0,D1,True,remove,True
288,0.0,D1,False,place,True
289,0.0,D1,False,remove,True
290,0.0,D1,False,remove,True
291,3.0,D1,False,place,False
292,0.0,D1,False,place,True
293,3.5,D1,False,place,False
294,0.0,D1,True,place,True
295,0.0,D1,False,place,True
296,0.0,D1,False,place,True
297,0.0,D1,False,remove,True
298,0.0,D1,True,remove,True
299,0.0,D1,True,remove,True
300,0.0,D1,False,place,True
301,0.0,D1,False,remove,True
302,0.0,D1,False,place,True
303,2.0,D1,False,place,False
304,3.5,D1,True,place,False
305,0.0,D1,True,remove,True
306,0.0,D1,True,remove,True
307,0.0,D1,False,remove,True
308,0.0,D1,True,remove,True
